Time,Weight_1,Weight_2,Weight_3,Weight_4,Weight_5,Weight_6,Weight_7,Weight_8,Weight_9,Weight_10,Weight_11,Weight_12,Weight_13,Weight_14,Weight_15,Weight_16,Weight_17,Weight_18,Weight_19,Weight_20,Diet
0,42,40,43,42,41,41,41,42.0,42,41,43,41,41,41,41.0,41.0,42,39.0,43,41,1
2,51,49,39,49,42,49,49,50.0,51,44,51,49,48,49,49.0,45.0,51,35.0,48,47,1
4,59,58,55,56,48,59,57,61.0,59,52,63,56,53,62,56.0,49.0,61,,55,54,1
6,64,72,67,67,60,74,71,71.0,68,63,84,62,60,79,64.0,51.0,72,,62,58,1
8,76,84,84,74,79,97,89,84.0,85,74,112,72,65,101,68.0,57.0,83,,65,65,1
10,93,103,99,87,106,124,112,93.0,96,81,139,88,67,128,68.0,51.0,89,,71,73,1
12,106,122,115,102,141,141,146,110.0,90,89,168,119,71,164,67.0,54.0,98,,82,77,1
14,125,138,138,108,164,148,174,116.0,92,96,177,135,70,192,68.0,,103,,88,89,1
16,149,162,163,136,197,155,218,126.0,93,101,182,162,71,227,,,113,,106,98,1
18,171,187,187,154,199,160,250,134.0,100,112,184,185,81,248,,,123,,120,107,1
20,199,209,198,160,220,160,288,125.0,100,120,181,195,91,259,,,133,,144,115,1
21,205,215,202,157,223,157,305,,98,124,175,205,96,266,,,142,,157,117,1
