Time,Weight_41,Weight_42,Weight_43,Weight_44,Weight_45,Weight_46,Weight_47,Weight_48,Weight_49,Weight_50,Diet
0,42,42,42,42.0,41,40,41,39,40,41,4
2,51,49,55,51.0,50,52,53,50,53,54,4
4,66,63,69,65.0,61,62,66,62,64,67,4
6,85,84,96,86.0,78,82,79,80,85,84,4
8,103,103,131,103.0,98,101,100,104,108,105,4
10,124,126,157,118.0,117,120,123,125,128,122,4
12,155,160,184,127.0,135,144,148,154,152,155,4
14,153,174,188,138.0,141,156,157,170,166,175,4
16,175,204,197,145.0,147,173,168,222,184,205,4
18,184,234,198,146.0,174,210,185,261,203,234,4
20,199,269,199,,197,231,210,303,233,264,4
21,204,281,200,,196,238,205,322,237,264,4
